序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
77,机器人,-0.45,16791952.0,0.72,739488.0,0.03,16052464.0,0.69,27428512.0,1.18,-42069952.0,-1.81,亿嘉和
78,通信工程及服务,-1.22,14568814.0,0.36,-22165090.0,-0.55,36733904.0,0.9,4491136.0,0.11,-33955520.0,-0.84,普天科技
79,胶黏剂及胶带,-2.1,14395591.0,2.53,-3861320.0,-0.68,18256911.0,3.21,-11556198.0,-2.03,-2839392.0,-0.5,晶华新材
80,磁性材料,-0.08,13384652.0,0.45,-11019316.0,-0.37,24403968.0,0.81,3753792.0,0.13,-17138464.0,-0.57,正海磁材
81,物流,-0.93,13112096.0,0.2,58496992.0,0.88,-45384896.0,-0.68,-157682656.0,-2.37,142161296.0,2.14,顺丰控股
82,其他家电Ⅲ,-0.55,11285569.0,6.02,-793553.0,-0.42,12079122.0,6.45,-2103306.0,-1.12,-9182263.0,-4.9,融捷健康
83,其他家电Ⅱ,-0.55,11285569.0,6.02,-793553.0,-0.42,12079122.0,6.45,-2103306.0,-1.12,-9182263.0,-4.9,融捷健康
84,工控设备,-1.32,10867888.0,0.24,28186528.0,0.62,-17318640.0,-0.38,103879808.0,2.28,-141686400.0,-3.11,中控技术
85,房产租赁经纪,-2.32,10052122.0,1.4,-3352680.0,-0.47,13404802.0,1.87,-4130714.0,-0.58,-5921409.0,-0.83,世联行
86,锦纶,-1.18,8093821.0,2.71,3212.0,0.0,8090609.0,2.71,-5103362.0,-1.71,-2990459.0,-1.0,恒申新材
87,农用机械,-1.74,7406625.0,1.1,18795609.0,2.8,-11388984.0,-1.69,-20301100.0,-3.02,10821570.0,1.61,一拖股份
88,车身附件及饰件,-0.55,6870768.0,0.11,-25588160.0,-0.41,32458928.0,0.52,575008.0,0.01,-2644544.0,-0.04,宁波华翔
89,跨境电商,-0.27,6729230.0,0.69,-9218468.0,-0.95,15947698.0,1.64,1279200.0,0.13,-8008448.0,-0.83,焦点科技
90,医美服务,2.04,6148176.0,6.09,-595951.0,-0.59,6744127.0,6.68,-4151945.0,-4.11,-1996230.0,-1.98,*ST美谷
91,动物保健Ⅲ,-1.09,4862457.0,0.54,-2665940.0,-0.3,7528397.0,0.84,-14081664.0,-1.57,11811456.0,1.32,生物股份
92,动物保健Ⅱ,-1.09,4862457.0,0.54,-2665940.0,-0.3,7528397.0,0.84,-14081664.0,-1.57,11811456.0,1.32,生物股份
93,粘胶,0.19,4845760.0,0.3,28400288.0,1.73,-23554528.0,-1.44,-20351344.0,-1.24,15505600.0,0.95,恒天海龙
94,耐火材料,-0.92,4384454.0,1.31,8212124.0,2.45,-3827670.0,-1.14,-2400921.0,-0.72,-7227578.0,-2.15,濮耐股份
95,钢铁管材,-0.85,4310872.0,1.12,19212942.0,5.01,-14902070.0,-3.89,-3382655.0,-0.88,-928216.0,-0.24,新兴铸管
96,院线,-0.43,3581782.0,0.56,-16340088.0,-2.56,19921870.0,3.12,13470834.0,2.11,-17052614.0,-2.67,金逸影视
97,房地产服务,-1.53,3468874.0,0.23,-3300294.0,-0.22,6769168.0,0.45,5354976.0,0.36,-8823840.0,-0.59,皇庭国际
98,会展服务,-1.12,3323153.0,1.88,-150230.0,-0.09,3473383.0,1.97,9020075.0,5.12,-12343229.0,-7.0,锋尚文化
99,诊断服务,-0.75,2780716.0,0.36,13380330.0,1.73,-10599614.0,-1.37,-27337705.0,-3.54,24556992.0,3.18,金域医学
100,视频媒体,-0.48,2391437.0,1.03,1777162.0,0.77,614275.0,0.26,-2213781.0,-0.95,-177655.0,-0.08,芒果超媒
101,辅料,-0.27,2282360.0,1.98,341596.0,0.3,1940764.0,1.69,-9202687.0,-8.0,6867695.0,5.97,浔兴股份
102,熟食,-0.57,2238337.0,1.19,541596.0,0.29,1696741.0,0.9,4401202.0,2.33,-6639540.0,-3.52,煌上煌
103,社会服务,-0.66,526096.0,0.0,183483552.0,1.71,-182957456.0,-1.71,-4653584.0,-0.04,8112304.0,0.08,中体产业
104,防水材料,-0.62,26076.0,0.0,2724972.0,0.34,-2698896.0,-0.34,15703734.0,1.98,-15729808.0,-1.99,凯伦股份
105,纺织鞋类制造,-0.21,-243946.0,-0.56,0.0,0.0,-243946.0,-0.56,-1575501.0,-3.63,1819448.0,4.19,华利集团
106,广告媒体,0.01,-313614.0,-0.04,-4767202.0,-0.6,4453588.0,0.56,-22239913.0,-2.82,22553527.0,2.86,分众传媒
107,氨纶,-2.66,-826090.0,-0.25,-5338686.0,-1.64,4512596.0,1.38,-2777615.0,-0.85,3603706.0,1.11,华峰化学
108,果蔬加工,-1.24,-1248462.0,-0.23,17009056.0,3.07,-18257518.0,-3.29,-5528336.0,-1.0,1114131.0,0.2,安德利
109,期货,-1.34,-2196139.0,-0.34,-5300523.0,-0.83,3104384.0,0.49,-11375550.0,-1.78,13571696.0,2.13,瑞达期货
110,物业管理,-1.55,-2679647.0,-0.42,-9001257.0,-1.41,6321610.0,0.99,9095719.0,1.43,-6416072.0,-1.01,皇庭国际
111,人力资源服务,-0.29,-2935934.0,-1.73,-1183690.0,-0.7,-1752244.0,-1.03,8406376.0,4.95,-5470442.0,-3.22,科锐国际
112,学历教育,-0.83,-3520082.0,-2.54,-3289898.0,-2.38,-230184.0,-0.17,-1869856.0,-1.35,5389939.0,3.89,凯文教育
113,汽车经销商,-0.29,-3733969.0,-1.62,-4825143.0,-2.09,1091174.0,0.47,2696492.0,1.17,3071037.0,1.33,上海物贸
114,房地产综合服务,1.01,-3903604.0,-2.84,9053643.0,6.6,-12957247.0,-9.44,389967.0,0.28,3513638.0,2.56,珠江股份
115,其他通信设备,-0.56,-6826281.0,-0.3,45451063.0,1.98,-52277344.0,-2.28,-9701904.0,-0.42,17234864.0,0.75,东方通信
116,其他专业服务,-1.08,-7910680.0,-3.9,-2268764.0,-1.12,-5641916.0,-2.78,2519849.0,1.24,5239413.0,2.58,零点有数
