序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5405,002323,雅博股份,2.36,-7.45,-0.19,2115335.0,515961605.26,8.24,2.57,2.36,2.55,2.55,0.75,9.98,-62.24,14.31,5005218135.0,5004101341.0,-0.42,0.0,40.48,43.9
5406,000155,川能动力,15.87,-7.46,-1.28,1348950.0,2186885924.48,7.41,17.1,15.83,16.9,17.15,1.36,7.31,63.24,2.84,29298691588.0,29298691588.0,0.0,0.0,34.15,36.22
5407,600328,中盐化工,8.67,-7.47,-0.7,553530.0,494504665.0,7.36,9.35,8.66,9.31,9.37,0.95,3.77,164.86,1.06,12712903651.0,12712903651.0,-0.12,0.0,7.84,5.22
5408,300939,秋田微,37.29,-7.49,-3.02,98387.0,375191745.52,6.97,39.97,37.16,39.8,40.31,0.65,8.2,52.66,3.22,4474800000.0,4474800000.0,-0.11,0.13,4.4,8.15
5409,002245,蔚蓝锂芯,16.62,-7.56,-1.36,905006.0,1551702842.18,7.06,17.82,16.55,17.82,17.98,1.37,8.34,28.03,2.59,19176331125.0,18035431613.0,0.06,0.06,-9.58,-6.63
5410,300138,晨光生物,12.1,-7.56,-0.99,259202.0,317258676.46,6.72,12.95,12.07,12.86,13.09,3.66,6.51,15.85,1.72,5845511125.0,4819590833.0,0.0,0.0,-5.62,-2.5
5411,600955,维远股份,17.34,-7.57,-1.42,272869.0,490150615.0,7.89,18.79,17.31,18.74,18.76,2.15,4.96,-39.88,1.13,9537000000.0,9537000000.0,0.0,-0.12,14.83,7.04
5412,301248,杰创智能,45.3,-7.57,-3.71,99054.0,460251832.47,8.16,49.25,45.25,49.02,49.01,1.0,8.82,229.32,4.56,6962836500.0,5088490110.0,-0.07,0.11,43.26,40.77
5413,603687,大胜达,14.9,-7.57,-1.22,840771.0,1286941142.0,9.12,16.2,14.73,15.83,16.12,0.73,15.29,67.6,2.51,8195474774.0,8195474774.0,-0.47,-0.6,51.12,56.35
5414,300172,中电环保,5.48,-7.59,-0.45,629157.0,353814835.4,7.76,5.9,5.44,5.88,5.93,2.18,12.03,45.4,1.92,3708370800.0,2865687494.0,-0.18,0.37,-4.36,0.55
